seed,k_frac,k,condition,n_train_eps,n_train_win,mse_unseen_operator,mse_unseen_scene,n_groups,fit_s
8,0.5,128,curated,128,27006,0.10993993282318115,0.09435030817985535,78,0.3600459098815918
8,0.5,128,dpp,128,27765,0.11008665710687637,0.09399183094501495,80,0.4237830638885498
8,0.5,128,kcenter,128,27011,0.11010101437568665,0.09469407796859741,84,1.0027258396148682
8,0.5,128,degenerate,128,23408,0.11829362064599991,0.1006394624710083,32,0.30896687507629395
8,0.5,128,random_nogate,128,26382,0.11425641179084778,0.09594441205263138,-1,0.0
8,1.0,257,all_gated,257,52495,0.10663890093564987,0.09199497848749161,107,0.0
9,0.25,89,random,89,17471,0.09274553507566452,0.10001328587532043,66,0.3080308437347412
9,0.25,89,curated,89,18583,0.09045860916376114,0.09826159477233887,66,0.2238609790802002
9,0.25,89,dpp,89,19433,0.08655764162540436,0.09644300490617752,67,0.2932767868041992
9,0.25,89,kcenter,89,19019,0.08797521144151688,0.0959259495139122,67,0.32993197441101074
9,0.25,89,degenerate,89,14226,0.09935572743415833,0.10367663949728012,15,0.18586087226867676
9,0.25,89,random_nogate,89,17531,0.08965402841567993,0.10249249637126923,-1,0.0
9,0.5,179,random,179,34711,0.08499348163604736,0.09353514760732651,101,0.786851167678833
9,0.5,179,curated,179,36983,0.0857216864824295,0.09247347712516785,102,0.36243677139282227
9,0.5,179,dpp,179,37829,0.08425340056419373,0.09284166246652603,104,0.6887168884277344
9,0.5,179,kcenter,179,37473,0.08484112471342087,0.09254470467567444,100,0.7439250946044922
9,0.5,179,degenerate,179,31155,0.08890955150127411,0.09618959575891495,37,0.511085033416748
9,0.5,179,random_nogate,179,33776,0.08593545109033585,0.09481626003980637,-1,0.0
9,1.0,358,all_gated,358,70319,0.0840185359120369,0.09212320297956467,128,0.0
