alpha,n_features,history,horizon,seed,condition,mse_unseen_operator,mse_unseen_scene
1.0,512,20,30,3,random,0.11722229421138763,0.10241558402776718
1.0,512,20,30,3,curated,0.11491863429546356,0.09679748117923737
1.0,512,20,30,3,dpp,0.11286655813455582,0.09409401565790176
1.0,512,20,30,3,kcenter,0.11297871917486191,0.09460248798131943
1.0,512,20,30,3,degenerate,0.12465300410985947,0.10551507771015167
1.0,512,20,30,4,random,0.12021299451589584,0.10344239324331284
1.0,512,20,30,4,curated,0.11735370755195618,0.09995409846305847
1.0,512,20,30,4,dpp,0.1131054013967514,0.09979043155908585
1.0,512,20,30,4,kcenter,0.11180013418197632,0.09931319952011108
1.0,512,20,30,4,degenerate,0.13728521764278412,0.11653062701225281
1.0,512,10,15,0,random,0.08454496413469315,0.09249307215213776
1.0,512,10,15,0,curated,0.08396865427494049,0.09006529301404953
1.0,512,10,15,0,dpp,0.08256415277719498,0.08802235871553421
1.0,512,10,15,0,kcenter,0.08374671638011932,0.08819728344678879
1.0,512,10,15,0,degenerate,0.09466348588466644,0.09891285002231598
1.0,512,10,15,1,random,0.09417066723108292,0.07754053920507431
1.0,512,10,15,1,curated,0.09165488183498383,0.07802839577198029
1.0,512,10,15,1,dpp,0.08982846140861511,0.07424583286046982
1.0,512,10,15,1,kcenter,0.09013504534959793,0.0749068334698677
1.0,512,10,15,1,degenerate,0.10867640376091003,0.0836302638053894
1.0,512,10,15,2,random,0.09070979803800583,0.08680061250925064
1.0,512,10,15,2,curated,0.08672311902046204,0.08332452178001404
1.0,512,10,15,2,dpp,0.08735357969999313,0.08362167328596115
1.0,512,10,15,2,kcenter,0.08612341433763504,0.0848701074719429
1.0,512,10,15,2,degenerate,0.09433865547180176,0.09028004854917526
1.0,512,10,15,3,random,0.09778501838445663,0.08068430423736572
1.0,512,10,15,3,curated,0.0926235094666481,0.07883884012699127
1.0,512,10,15,3,dpp,0.09140230715274811,0.0763871818780899
1.0,512,10,15,3,kcenter,0.09131398797035217,0.07585811614990234
1.0,512,10,15,3,degenerate,0.1026504710316658,0.08760803937911987
1.0,512,10,15,4,random,0.09708574414253235,0.08129602670669556
1.0,512,10,15,4,curated,0.09430074691772461,0.07923045754432678
1.0,512,10,15,4,dpp,0.09284991025924683,0.07952102273702621
1.0,512,10,15,4,kcenter,0.09152455627918243,0.07920685410499573
1.0,512,10,15,4,degenerate,0.12081796675920486,0.09524055570363998
1.0,512,10,60,0,random,0.11825499683618546,0.12238028645515442
1.0,512,10,60,0,curated,0.11926054209470749,0.1194457858800888
1.0,512,10,60,0,dpp,0.11794685572385788,0.11750879138708115
1.0,512,10,60,0,kcenter,0.1178869977593422,0.11661532521247864
1.0,512,10,60,0,degenerate,0.13236285746097565,0.13100019097328186
1.0,512,10,60,1,random,0.13776537775993347,0.10965394973754883
1.0,512,10,60,1,curated,0.1323639154434204,0.10794635117053986
1.0,512,10,60,1,dpp,0.12852676212787628,0.10353001207113266
1.0,512,10,60,1,kcenter,0.12925885617733002,0.10447950661182404
1.0,512,10,60,1,degenerate,0.1483493596315384,0.1159895658493042
1.0,512,10,60,2,random,0.12692320346832275,0.12273158878087997
1.0,512,10,60,2,curated,0.12166111916303635,0.1204281821846962
1.0,512,10,60,2,dpp,0.12369251251220703,0.1170283704996109
1.0,512,10,60,2,kcenter,0.12199950963258743,0.11787663400173187
1.0,512,10,60,2,degenerate,0.12869566679000854,0.12651687860488892
1.0,512,10,60,3,random,0.13246306777000427,0.11283747851848602
1.0,512,10,60,3,curated,0.12959110736846924,0.10873179882764816
1.0,512,10,60,3,dpp,0.1259775459766388,0.10633464902639389
1.0,512,10,60,3,kcenter,0.12527678906917572,0.10677832365036011
1.0,512,10,60,3,degenerate,0.13960807025432587,0.11700328439474106
1.0,512,10,60,4,random,0.13410213589668274,0.11319416761398315
1.0,512,10,60,4,curated,0.13008637726306915,0.1095062643289566
1.0,512,10,60,4,dpp,0.12868453562259674,0.10983652621507645
1.0,512,10,60,4,kcenter,0.12577959895133972,0.10871215909719467
1.0,512,10,60,4,degenerate,0.16681455075740814,0.1323254257440567
