episode_hash,status,total_frames,padded_len,sql_num_frames,n_annotations,fps,n_arrays
692e9dda727c13b350cb7b98,ok,228,228,228.0,0,30,7
692fe17a34a99e18e252892e,ok,212,212,212.0,0,30,7
692eab4ce2322e3b092b5f68,ok,217,217,217.0,0,30,7
692fe79d34a99e18e25289a1,ok,223,223,223.0,0,30,7
692e90ef7641010d043544eb,ok,151,151,151.0,0,30,7
692f061d245e9187290071c6,ok,238,238,238.0,0,30,7
692ea06f5cd6df8b6023c989,ok,216,216,216.0,0,30,7
692efe43f59fd218b1be01b5,ok,153,153,153.0,0,30,7
692ea84674b24813e75975c5,ok,163,163,163.0,0,30,7
692e9f2bba0400c70689fdf3,ok,197,197,197.0,0,30,7
692fe8a0b108dc6b6c8bda42,ok,225,225,225.0,0,30,7
692e9b1cb77ab81b8b41ecff,ok,223,223,223.0,0,30,7
692ea4d574b24813e759753c,ok,166,166,166.0,0,30,7
692efcdc4cbe80983737fff1,ok,167,167,167.0,0,30,7
692ec529526b2c3ac5f5b55a,ok,157,157,157.0,0,30,7
692fe49ce67536750dac0262,ok,489,489,489.0,0,30,7
692fe89fb108dc6b6c8bda3e,ok,191,191,191.0,0,30,7
692fedab44aaf21386afad3e,ok,236,236,236.0,0,30,7
692ea90ce2322e3b092b5f02,ok,212,212,212.0,0,30,7
692eb0e9c621d7f4aac3ac23,ok,136,136,136.0,0,30,7
6930856076acbe36f0806bfb,ok,192,192,192.0,0,30,7
692ec52d526b2c3ac5f5b57a,ok,139,139,139.0,0,30,7
692fe5eea48e122f8325d3c2,ok,184,184,184.0,0,30,7
692eb463aec602a46af1070e,ok,225,225,225.0,0,30,7
692ea2213b319da763b71a53,ok,199,199,199.0,0,30,7
692e991a1e78e176ba6cf776,ok,147,147,147.0,0,30,7
692eadb13b319da763b71b9b,ok,166,166,166.0,0,30,7
692eb08a97ffd8ec90340292,ok,197,197,197.0,0,30,7
692eaffbdfa4113987776ad5,ok,184,184,184.0,0,30,7
692e943aaf371a654ce7fbdc,ok,199,199,199.0,0,30,7
692ea17dba0400c70689fe54,ok,217,217,217.0,0,30,7
692fe7cab03ac7c2657d54c7,ok,173,173,173.0,0,30,7
692eb652ba0400c7068a004d,ok,163,163,163.0,0,30,7
692fe79d34a99e18e252899c,ok,221,221,221.0,0,30,7
692e9a0095aad87d3e344527,ok,230,230,230.0,0,30,7
